STATECD.x,PLOT_STATUS_CD,PLOT_FIADB.x,State_Plot,STATECD.y,PLOT_FIADB.y,sum_propfor,n_plots
41,1,76418,7641841,41,76418,2,2
41,1,51395,5139541,41,51395,1.7629700000000001,2
41,1,88652,8865241,41,88652,2,2
41,1,93187,9318741,41,93187,2,2
41,1,92815,9281541,41,92815,2,2
41,1,72521,7252141,41,72521,2,2
41,1,60220,6022041,41,60220,2,2
41,1,77288,7728841,41,77288,2,2
41,1,89627,8962741,41,89627,1.75,2
41,1,92803,9280341,41,92803,2,2
41,1,68090,6809041,41,68090,2,2
41,1,90141,9014141,41,90141,2,2
41,1,60354,6035441,41,60354,1.5678109999999998,2
41,1,78259,7825941,41,78259,1,2
41,1,53171,5317141,41,53171,2,2
41,1,94378,9437841,41,94378,2,2
41,1,60663,6066341,41,60663,2,2
41,1,93925,9392541,41,93925,2,2
41,1,91255,9125541,41,91255,2,2
41,1,75922,7592241,41,75922,0.022444,2
41,1,52333,5233341,41,52333,2,2
41,1,84976,8497641,41,84976,1.921548,2
41,1,65302,6530241,41,65302,1.6582789999999998,2
41,1,64131,6413141,41,64131,1.999247,2
41,1,55300,5530041,41,55300,2,2
41,1,81526,8152641,41,81526,1.3460450000000002,2
41,1,57056,5705641,41,57056,2,2
41,1,81923,8192341,41,81923,0.829941,2
41,1,87134,8713441,41,87134,1.5,2
41,1,98945,9894541,41,98945,2,2
41,1,90274,9027441,41,90274,2,2
41,1,88776,8877641,41,88776,2,2
41,1,80938,8093841,41,80938,2,2
41,1,83353,8335341,41,83353,2,2
41,1,91125,9112541,41,91125,2,2
41,1,60776,6077641,41,60776,2,2
41,1,88464,8846441,41,88464,2,2
41,1,59144,5914441,41,59144,2,2
41,1,66091,6609141,41,66091,2,2
41,1,94121,9412141,41,94121,1.448506,2
41,1,76309,7630941,41,76309,1.708034,2
41,1,99240,9924041,41,99240,2,2
41,1,73022,7302241,41,73022,2,2
41,1,76048,7604841,41,76048,1.755932,2
41,1,60736,6073641,41,60736,1.214922,2
41,1,64014,6401441,41,64014,2,2
41,1,90756,9075641,41,90756,1.995914,2
41,1,71111,7111141,41,71111,2,2
41,1,84626,8462641,41,84626,2,2
41,1,65851,6585141,41,65851,1.54796,2
41,1,57251,5725141,41,57251,2,2
41,1,98999,9899941,41,98999,2,2
41,1,56149,5614941,41,56149,2,2
41,1,71028,7102841,41,71028,2,2
41,1,70954,7095441,41,70954,2,2
41,1,72315,7231541,41,72315,2,2
41,1,91327,9132741,41,91327,0.474712,2
41,1,95528,9552841,41,95528,2,2
41,1,79071,7907141,41,79071,2,2
41,1,56006,5600641,41,56006,1.82647,2
41,1,97754,9775441,41,97754,2,2
41,1,57958,5795841,41,57958,2,2
41,1,70888,7088841,41,70888,1.778842,2
41,1,81268,8126841,41,81268,2,2
41,1,78184,7818441,41,78184,2,2
41,1,69864,6986441,41,69864,2,2
41,1,55952,5595241,41,55952,2,2
41,1,87791,8779141,41,87791,2,2
41,1,61228,6122841,41,61228,1.608965,2
41,1,63051,6305141,41,63051,1.9862060000000001,2
41,1,66267,6626741,41,66267,2,2
41,1,93393,9339341,41,93393,2,2
41,1,94772,9477241,41,94772,2,2
41,1,83146,8314641,41,83146,2,2
41,1,66345,6634541,41,66345,1.989395,2
41,1,53007,5300741,41,53007,2,2
41,1,97795,9779541,41,97795,2,2
41,1,51746,5174641,41,51746,2,2
41,1,70400,7040041,41,70400,2,2
41,1,93832,9383241,41,93832,2,2
41,1,58080,5808041,41,58080,2,2
41,1,69036,6903641,41,69036,1.909276,2
41,1,89116,8911641,41,89116,1.302532,2
41,1,74871,7487141,41,74871,2,2
41,1,58138,5813841,41,58138,2,2
41,1,54887,5488741,41,54887,0.9465399999999999,2
41,1,80561,8056141,41,80561,1.98938,2
41,1,77773,7777341,41,77773,1.4366910000000002,2
