STATECD,PLOT_FIADB,INVYR,pre.temp,post.temp
6,90396,2005,16.72140021,17.27465494
6,84834,2002,9.295327793,9.190691376
6,73609,2006,16.42860071,17.16054576
6,69639,2006,16.63507371,17.48516476
6,52782,2008,16.5259826,17.59347345
6,89143,2005,16.40703715,17.13872828
6,66223,2008,11.71065525,13.20303687
6,68773,2003,15.98981923,15.74460094
6,82378,2008,7.980727647,8.919345665
6,65418,2006,16.52105546,17.38716445
6,79790,2009,17.37418275,18.23954242
6,72617,2007,11.28849118,11.95025496
6,55825,2004,8.734400351,8.844382199
6,68667,2003,9.733436827,9.639236625
6,69002,2005,11.31094579,12.24103675
6,93262,2008,8.911327744,9.687236926
6,79025,2001,8.948163925,8.321709633
6,95321,2009,9.336691319,10.59620585
6,55496,2001,9.604345754,9.311091163
6,98547,2002,8.687764203,8.314800436
6,67682,2001,9.331745738,8.983909572
6,54577,2002,9.622164328,9.433454963
6,61620,2005,9.578818876,10.63025497
6,60249,2003,10.26838207,10.01272777
6,72788,2003,11.09210956,10.81843699
6,57413,2007,9.860982375,11.11767327
6,94582,2009,10.11054596,11.0987566
6,51902,2008,9.865909594,11.09374577
6,78884,2001,16.3380008,16.24970991
6,52596,2002,12.79578252,12.15403714
6,63117,2001,8.311418542,7.789109551
6,63346,2001,7.320582086,6.834872957
6,86035,2003,7.735109503,7.572218471
6,92890,2009,9.063727535,9.548414664
6,90345,2008,7.386164145,8.450236641
6,77838,2009,7.026145667,8.074078326
6,96146,2009,11.09696436,11.46692562
6,82241,2009,12.21230949,13.19047865
6,98508,2007,17.23741913,17.92140068
6,63514,2001,7.634564001,7.165654989
6,78268,2003,17.01369161,16.62911023
6,76825,2005,16.77747355,17.22271012
6,93902,2006,16.44223744,16.84700147
6,82548,2004,11.32081841,10.87863671
6,96723,2004,16.58081944,16.38769155
6,58604,2004,7.564582339,7.693691227
