STATECD,INVYR,PLOT_STATUS_CD,PLOT_FIADB,plt_cn,intensification,propfor,propnonfor,propwater,propmiss,STRATUM
6,2019,2,95098,558626961126144,0,0,0,1,0,0
6,2003,2,99284,24259581010900,0,0,1,0,0,0
6,2013,2,99284,44542974020004,0,0,1,0,0,0
6,2009,2,95917,29879050010497,0,0,0,1,0,0
6,2019,2,95917,558627548126144,0,0,1,0,0,0
6,2016,2,72574,345935673489998,0,0,0,1,0,0
6,2006,2,72574,8908098010901,0,0,0,1,0,0
6,2009,2,97877,29879117010497,0,0,0,1,0,0
6,2019,2,97877,558626971126144,0,0,0,1,0,0
6,2001,2,62967,23650708010900,0,0,0,1,0,0
6,2011,2,62967,48205885010497,0,0,0,1,0,0
6,2001,2,61904,23648676010900,0,0,0,1,0,0
6,2011,2,61904,48204918010497,0,0,0,1,0,0
6,2008,2,76399,22929956010497,0,0,0,1,0,0
6,2018,2,76399,484816630489998,0,0,0,1,0,0
6,2010,2,59407,9827855010902,0,0,0,1,0,0
6,2002,2,61575,23837092010900,0,0,0,1,0,0
6,2012,2,61575,30762021020004,0,0,0,1,0,0
6,2005,2,62023,15266746010497,0,0,1,0,0,0
6,2015,2,62023,273641309489998,0,0,0,1,0,0
6,2005,2,54825,15263536010497,0,0,0,1,0,0
6,2015,2,54825,273640524489998,0,0,0,1,0,0
6,2014,2,83752,216958310020004,0,0,0,1,0,0
6,2004,2,83752,25026123010900,0,0,0,1,0,0
6,2016,2,77523,345935921489998,0,0,0,1,0,0
6,2006,2,77523,8917471010901,0,0,0,1,0,0
6,2008,2,76323,22929963010497,0,0,0,1,0,0
6,2018,2,76323,484817117489998,0,0,0,1,0,0
6,2014,2,61511,216959116020004,0,0,0,1,0,0
6,2004,2,61511,25139886010900,0,0,0,1,0,0
6,2016,2,59666,345933286489998,0,0,0,1,0,0
6,2006,2,59666,8908467010901,0,0,0,1,0,0
6,2008,2,68087,22929965010497,0,0,0,1,0,0
6,2018,2,68087,484816620489998,0,0,0,1,0,0
6,2002,2,58966,23837105010900,0,0,0,1,0,0
6,2012,2,58966,30762020020004,0,0,0,1,0,0
6,2014,2,55559,216959049020004,0,0,0,1,0,0
6,2004,2,55559,25149103010900,0,0,0,1,0,0
6,2009,2,83063,29879132010497,0,0,0,1,0,0
6,2019,2,83063,558627455126144,0,0,0,1,0,0
6,2015,2,90040,273642613489998,0,0,0,1,0,0
6,2005,2,90040,7843220010497,0,0,0,1,0,0
6,2005,2,72088,15259832010497,0,0,0,1,0,0
6,2015,2,72088,273641216489998,0,0,0,1,0,0
6,2003,2,51527,24287783010900,0,0,0,1,0,0
6,2013,2,51527,44542240020004,0,0,0,1,0,0
6,2005,2,57465,15248575010497,0,0,0,1,0,0
6,2015,2,57465,273641887489998,0,0,0,1,0,0
6,2007,2,63595,22955462010497,0,0,0,1,0,0
6,2017,2,63595,412221242489998,0,0,0,1,0,0
6,2016,2,86412,345934391489998,0,0,0,1,0,0
6,2006,2,86412,8960334010901,0,0,0,1,0,0
6,2016,2,60158,345933668489998,0,0,1,0,0,0
6,2006,2,60158,8937924010901,0,0,1,0,0,0
6,2003,2,51525,24329236010900,0,0,0,1,0,0
6,2013,2,51525,44540975020004,0,0,0,1,0,0
6,2010,2,68671,9827844010902,0,0,1,0,0,0
6,2007,2,97423,22955463010497,0,0,1,0,0,0
6,2017,2,97423,412219868489998,0,0,1,0,0,0
6,2001,2,93287,23696881010900,0,0,0,1,0,0
6,2011,2,93287,48204526010497,0,0,0,1,0,0
6,2009,2,83094,29880366010497,0,0,0,1,0,0
6,2019,2,83094,558627447126144,0,0,0,1,0,0
6,2008,2,65195,22929974010497,0,0,0,1,0,0
6,2018,2,65195,484816529489998,0,0,0,1,0,0
6,2009,2,91760,29880375010497,0,0,0,1,0,0
6,2019,2,91760,558626876126144,0,0,0,1,0,0
6,2007,2,80401,22955472010497,0,0,0,1,0,0
6,2017,2,80401,412222320489998,0,0,0,1,0,0
6,2001,2,97860,23721503010900,0,0,0,1,0,0
6,2011,2,97860,48203607010497,0,0,0,1,0,0
6,2007,1,60696,22953217010497,0,0.446711,0,0.553289,0,0
6,2017,1,60696,412220954489998,0,0.436179,0,0.563821,0,0
6,2001,2,72050,23684140010900,0,0,0,1,0,0
6,2011,2,72050,48203851010497,0,0,0,1,0,0
6,2007,2,94371,22955479010497,0,0,0,1,0,0
6,2017,2,94371,412222136489998,0,0,1,0,0,0
6,2003,2,53893,24327068010900,0,0,0,1,0,0
6,2013,2,53893,44543364020004,0,0,0,1,0,0
6,2014,2,95620,216959230020004,0,0,1,0,0,0
6,2004,2,95620,24981431010900,0,0,1,0,0,0
6,2010,2,60915,40218508010497,0,0,0,1,0,0
6,2014,2,82550,216961067020004,0,0,0,1,0,0
6,2004,2,82550,25029290010900,0,0,0,1,0,0
6,2003,2,82871,24272353010900,0,0,0,1,0,0
6,2013,2,82871,44542452020004,0,0,0,1,0,0
6,2007,2,51549,22955498010497,0,0,0,1,0,0
6,2017,2,51549,412221892489998,0,0,0,1,0,0
6,2010,2,75665,40224519010497,0,0,1,0,0,0
6,2009,2,50533,29880710010497,0,0,0,1,0,0
6,2019,2,50533,558626877126144,0,0,0,1,0,0
6,2002,2,57441,23831843010900,0,0,0,1,0,0
6,2012,2,57441,30764038020004,0,0,0.5,0.5,0,0
6,2002,2,75013,23978234010900,0,0,0,1,0,0
6,2012,2,75013,30763163020004,0,0,0,1,0,0
6,2009,2,78769,29880782010497,0,0,0,1,0,0
6,2019,2,78769,558626775126144,0,0,0,1,0,0
6,2009,2,70928,29880795010497,0,0,0,1,0,0
6,2019,2,70928,558626895126144,0,0,0,1,0,0
6,2016,2,96611,345933731489998,0,0,0,1,0,0
6,2006,2,96611,8901360010901,0,0,0,1,0,0
6,2008,2,94509,22930171010497,0,0,0,1,0,0
6,2018,2,94509,484816460489998,0,0,0,1,0,0
6,2001,2,92501,23656331010900,0,0,0,1,0,0
6,2011,2,92501,48204956010497,0,0,0,1,0,0
6,2005,2,64496,15258952010497,0,0,0,1,0,0
6,2015,2,64496,273640727489998,0,0,0,1,0,0
6,2007,1,83310,22953327010497,0,1,0,0,0,0
6,2017,1,83310,412221474489998,0,1,0,0,0,0
6,2008,2,52120,22930180010497,0,0,0,1,0,0
6,2018,2,52120,484816431489998,0,0,0,1,0,0
6,2010,2,56246,40224582010497,0,0,0,1,0,0
6,2009,2,94559,29880299010497,0,0,0,1,0,0
6,2019,2,94559,558626798126144,0,0,0,1,0,0
6,2001,2,75721,23676011010900,0,0,0,1,0,0
6,2011,2,75721,48205035010497,0,0,0,1,0,0
6,2014,2,56093,216961151020004,0,0,0,1,0,0
6,2004,2,56093,25032541010900,0,0,0,1,0,0
6,2016,2,87099,345935252489998,0,0,0,1,0,0
6,2006,2,87099,8887218010901,0,0,0,1,0,0
6,2003,2,86909,24275215010900,0,0,0,1,0,0
6,2013,2,86909,44543294020004,0,0,0,1,0,0
6,2005,2,82992,15265945010497,0,0,0,1,0,0
6,2015,2,82992,273640450489998,0,0,0,1,0,0
6,2009,2,88080,29880314010497,0,0,0,1,0,0
6,2019,2,88080,558626839126144,0,0,0,1,0,0
6,2001,2,66893,23703554010900,0,0,0,1,0,0
6,2011,2,66893,48203381010497,0,0,0,1,0,0
6,2009,2,67179,29880382010497,0,0,0,1,0,0
6,2019,2,67179,558626428126144,0,0,0,1,0,0
6,2005,2,82825,13079981010497,0,0,0.75,0.25,0,0
6,2015,2,82825,273642097489998,0,0,1,0,0,0
6,2010,2,70752,40224612010497,0,0,0,1,0,0
6,2001,2,61318,23703769010900,0,0,0,1,0,0
6,2011,2,61318,48205441010497,0,0,1,0,0,0
6,2009,2,69798,29880475010497,0,0,1,0,0,0
6,2019,2,69798,558626802126144,0,0,0,1,0,0
6,2003,2,75349,24273116010900,0,0,0,1,0,0
6,2013,2,75349,44543408020004,0,0,0,1,0,0
6,2009,3,83652,29880554010497,0,0,0,0,1,0
6,2019,1,83652,558626793126144,0,1,0,0,0,0
6,2005,2,90396,15266408010497,0,0,0,1,0,0
6,2015,2,90396,273641868489998,0,0,0,1,0,0
6,2002,2,84834,23775163010900,0,0,0,1,0,0
6,2012,2,84834,30762434020004,0,0,0,1,0,0
6,2016,2,73609,345933269489998,0,0,1,0,0,0
6,2006,2,73609,8935301010901,0,0,1,0,0,0
6,2016,2,69639,345934388489998,0,0,0,1,0,0
6,2006,2,69639,8935346010901,0,0,0,1,0,0
6,2008,2,52782,22930258010497,0,0,0,1,0,0
6,2018,2,52782,484816394489998,0,0,0,1,0,0
6,2005,2,89143,13109485010497,0,0,1,0,0,0
6,2015,2,89143,273642035489998,0,0,1,0,0,0
6,2008,2,66223,22930263010497,0,0,0,1,0,0
6,2018,2,66223,484816402489998,0,0,0,1,0,0
6,2003,2,68773,24326121010900,0,0,0,1,0,0
6,2013,2,68773,44540957020004,0,0,0.25,0.75,0,0
6,2008,2,82378,22930273010497,0,0,0,1,0,0
6,2018,2,82378,484816542489998,0,0,0,1,0,0
6,2006,1,65418,22953378010497,0,0.743786,0.256214,0,0,0
6,2016,1,65418,345935395489998,0,0.743786,0.256214,0,0,0
6,2009,2,79790,29880876010497,0,0,1,0,0,0
6,2019,2,79790,558626792126144,0,0,0,1,0,0
6,2007,2,72617,22955553010497,0,0,0,1,0,0
6,2017,2,72617,412221232489998,0,0,0,1,0,0
6,2014,2,55825,216960531020004,0,0,1,0,0,0
6,2004,2,55825,26685353010900,0,0,1,0,0,0
6,2003,2,68667,24281014010900,0,0,0,1,0,0
6,2013,2,68667,44541520020004,0,0,0,1,0,0
6,2005,2,69002,15259000010497,0,0,1,0,0,0
6,2015,2,69002,273641160489998,0,0,1,0,0,0
6,2010,2,78846,40218643010497,0,0,1,0,0,0
6,2008,2,93262,22930367010497,0,0,0,1,0,0
